OccuranceID,Species,Latitude,Longitude,ChecklistID,Date.observed,Year,Month,Day,Start.time,End.time
19655,Danaus plexippus,45.56051,-73.557675,5734,2012-08-16,2012,8,16,17:50,18:25
19660,Danaus plexippus,45.557218,-73.559593,5735,2012-08-16,2012,8,16,12:50,13:20
19719,Danaus plexippus,44.93,-75.7,5758,2012-08-16,2012,8,16,11:15,12:00
19745,Danaus plexippus,44.842456,-75.71596,5760,2012-08-16,2012,8,16,14:00,14:30
19762,Danaus plexippus,45.084738,-75.482759,5761,2012-08-16,2012,8,16,15:25,17:00
19784,Danaus plexippus,45.192688,-75.876764,5775,2012-08-16,2012,8,16,09:08,10:08
19797,Danaus plexippus,45.185762,-75.87758,5776,2012-08-16,2012,8,16,09:08,10:08
19806,Danaus plexippus,45.389308,-75.707635,5777,2012-08-16,2012,8,16,09:08,10:08
19810,Danaus plexippus,45.352105,-75.816189,5778,2012-08-16,2012,8,16,11:05,11:45
19827,Danaus plexippus,42.09988,-82.492049,5782,2012-08-16,2012,8,16,02:08,03:08
19848,Danaus plexippus,42.09988,-82.492049,5791,2012-08-17,2012,8,17,07:08,08:08
19863,Danaus plexippus,43.744097,-80.947353,5799,2012-08-17,2012,8,17,16:00,17:30
19894,Danaus plexippus,43.745914,-79.191588,5824,2012-07-25,2012,7,25,01:08,02:08
19921,Danaus plexippus,45.613922,-72.939359,5837,2012-08-18,2012,8,18,02:08,03:08
19924,Danaus plexippus,45.614856,-72.945255,5838,2012-08-18,2012,8,18,02:08,03:08
19935,Danaus plexippus,43.853261,-78.897338,5844,2012-08-18,2012,8,18,09:00,10:00
19943,Danaus plexippus,44.062271,-78.836259,5846,2012-08-18,2012,8,18,11:45,11:55
19956,Danaus plexippus,44.101318,-78.728972,5847,2012-08-18,2012,8,18,12:05,13:30
19965,Danaus plexippus,43.971883,-78.62811,5848,2012-08-18,2012,8,18,14:25,14:50
20031,Danaus plexippus,45.401975,-75.277163,5866,2012-08-18,2012,8,18,16:30,18:30
20055,Danaus plexippus,44.591878,-63.452214,5873,2012-08-18,2012,8,18,12:05,13:15
20077,Danaus plexippus,42.09988,-82.492049,5876,2012-08-18,2012,8,18,10:08,11:08
20088,Danaus plexippus,44.341841,-79.142579,5880,2012-08-19,2012,8,19,10:15,11:00
20109,Danaus plexippus,44.176515,-78.967227,5884,2012-08-19,2012,8,19,12:55,13:10
20133,Danaus plexippus,42.09988,-82.492049,5889,2012-08-19,2012,8,19,04:08,05:08
20155,Danaus plexippus,43.706924,-79.238978,5892,2012-08-18,2012,8,18,07:08,08:08
20167,Danaus plexippus,43.695778,-79.255685,5893,2012-08-19,2012,8,19,07:08,08:08
20171,Danaus plexippus,43.4583,-80.5756,5895,2012-08-08,2012,8,8,08:08,09:08
20173,Danaus plexippus,43.4583,-80.5756,5896,2012-08-09,2012,8,9,08:08,09:08
20175,Danaus plexippus,43.4583,-80.5756,5897,2012-08-11,2012,8,11,08:08,09:08
20177,Danaus plexippus,43.4583,-80.5756,5898,2012-08-12,2012,8,12,08:08,09:08
20179,Danaus plexippus,43.4583,-80.5756,5899,2012-08-13,2012,8,13,08:08,09:08
20180,Danaus plexippus,43.4583,-80.5756,5900,2012-08-14,2012,8,14,08:08,09:08
20181,Danaus plexippus,43.4583,-80.5756,5901,2012-08-15,2012,8,15,08:08,09:08
20182,Danaus plexippus,43.4583,-80.5756,5902,2012-08-16,2012,8,16,08:08,09:08
20183,Danaus plexippus,43.4583,-80.5756,5903,2012-08-17,2012,8,17,08:08,09:08
20184,Danaus plexippus,43.4583,-80.5756,5904,2012-08-18,2012,8,18,08:08,09:08
20187,Danaus plexippus,43.4583,-80.5756,5905,2012-08-19,2012,8,19,08:08,09:08
20201,Danaus plexippus,43.745291,-80.945851,5907,2012-08-19,2012,8,19,16:30,17:45
20206,Danaus plexippus,43.747279,-80.943006,5908,2012-08-19,2012,8,19,16:30,17:45
20237,Danaus plexippus,42.016848,-82.895612,5926,2012-08-12,2012,8,12,14:00,14:30
20257,Danaus plexippus,42.016848,-82.895612,5928,2012-08-19,2012,8,19,14:00,15:30
20277,Danaus plexippus,41.986647,-82.927112,5929,2012-08-19,2012,8,19,01:08,02:08
20316,Danaus plexippus,42.09988,-82.492049,5946,2012-08-20,2012,8,20,07:08,08:08
20335,Danaus plexippus,43.965916,-64.734675,5951,2012-08-20,2012,8,20,16:40,17:30
20340,Danaus plexippus,43.696678,-79.255361,5953,2012-07-30,2012,7,30,13:30,16:50
20341,Danaus plexippus,43.759465,-79.158549,5954,2012-08-01,2012,8,1,12:15,12:15
20347,Danaus plexippus,43.774662,-79.13464,5957,2012-08-03,2012,8,3,12:15,12:30
20352,Danaus plexippus,43.766032,-79.202875,5958,2012-08-04,2012,8,4,11:30,11:40
20357,Danaus plexippus,43.759465,-79.158549,5960,2012-08-04,2012,8,4,12:30,12:40
20394,Danaus plexippus,44.642197,-63.58003,5978,2012-08-21,2012,8,21,11:30,12:30
20403,Danaus plexippus,49.180873,-119.544105,5983,2012-08-17,2012,8,17,12:00,12:30
20435,Danaus plexippus,42.09988,-82.492049,5994,2012-08-21,2012,8,21,07:08,08:08
20453,Danaus plexippus,43.745291,-80.945851,5997,2012-08-21,2012,8,21,15:30,17:00
20455,Danaus plexippus,43.740862,-80.951425,5998,2012-08-21,2012,8,21,15:30,17:00
20459,Danaus plexippus,49.90097,-109.482697,6000,2012-07-11,2012,7,11,8:00am,9:00am
20464,Danaus plexippus,49.90097,-109.482697,6005,2012-07-19,2012,7,19,7:30am,8:30am
20466,Danaus plexippus,49.90097,-109.482697,6007,2012-07-21,2012,7,21,7:30am,8:30am
20467,Danaus plexippus,49.90097,-109.482697,6008,2012-07-27,2012,7,27,7:30am,8:30am
20468,Danaus plexippus,49.90097,-109.482697,6009,2012-07-30,2012,7,30,7:30am,8:30am
20469,Danaus plexippus,49.90097,-109.482697,6010,2012-08-05,2012,8,5,7:30am,8:30am
20470,Danaus plexippus,49.90097,-109.482697,6011,2012-08-10,2012,8,10,7:30am,8:30am
20472,Danaus plexippus,53.8227,-106.160707,6012,2012-08-19,2012,8,19,8:30am,9:30am
20486,Danaus plexippus,45.014635,-74.787862,6023,2012-08-22,2012,8,22,01:08,02:08
20497,Danaus plexippus,45.56051,-73.557675,6029,2012-08-22,2012,8,22,16:15,17:00
20500,Danaus plexippus,45.35209,-75.817584,6030,2012-08-22,2012,8,22,10:00,10:45
20517,Danaus plexippus,42.09988,-82.492049,6031,2012-08-22,2012,8,22,05:08,06:08
20563,Danaus plexippus,43.266336,-79.942607,6051,2012-08-18,2012,8,18,12:00,14:00
20571,Danaus plexippus,43.300514,-79.799441,6052,2012-08-22,2012,8,22,12:00,12:45
20583,Danaus plexippus,43.695778,-79.255685,6054,2012-08-21,2012,8,21,09:08,10:08
20594,Danaus plexippus,43.706924,-79.238978,6055,2012-08-21,2012,8,21,09:08,10:08
20606,Danaus plexippus,43.695778,-79.255685,6056,2012-08-20,2012,8,20,09:08,10:08
20611,Danaus plexippus,45.613922,-72.939359,6057,2012-08-19,2012,8,19,11,12
20616,Danaus plexippus,45.613922,-72.939359,6060,2012-08-22,2012,8,22,19:00,19:30
20638,Danaus plexippus,45.95652,-60.9314,6081,2012-08-21,2012,8,21,12:00,14:30
20639,Danaus plexippus,46.0869,-60.77995,6082,2012-08-22,2012,8,22,15:30,15:35
20687,Danaus plexippus,42.09988,-82.492049,6100,2012-08-23,2012,8,23,06:08,07:08
20724,Danaus plexippus,45.429468,-75.982459,6120,2012-08-22,2012,8,22,11:00,11:30
20773,Danaus plexippus,41.954803,-82.522007,6133,2012-08-24,2012,8,24,08:08,09:08
20792,Danaus plexippus,43.539975,-79.596817,6144,2012-08-19,2012,8,19,10:08,11:08
20801,Danaus plexippus,43.671307,-79.513432,6146,2012-08-19,2012,8,19,10:08,11:08
20822,Danaus plexippus,42.039179,-82.512624,6148,2012-08-20,2012,8,20,14:00,16:00
20834,Danaus plexippus,42.032577,-82.596352,6149,2012-08-21,2012,8,21,11:08,12:08
20849,Danaus plexippus,41.927942,-82.514931,6150,2012-08-21,2012,8,21,11:00,14:00
20875,Danaus plexippus,41.987947,-82.926886,6154,2012-08-23,2012,8,23,11:20,11:40
20892,Danaus plexippus,41.917452,-82.509234,6155,2012-08-21,2012,8,21,02:08,03:08
20907,Danaus plexippus,41.913556,-82.510489,6156,2012-08-21,2012,8,21,02:08,03:08
20931,Danaus plexippus,41.927942,-82.514931,6158,2012-08-22,2012,8,22,02:08,03:08
20940,Danaus plexippus,41.917452,-82.509234,6159,2012-08-22,2012,8,22,16:00,17:00
20957,Danaus plexippus,43.853261,-78.897338,6169,2012-08-25,2012,8,25,10:00,11:30
20967,Danaus plexippus,43.9311,-78.975038,6170,2012-08-25,2012,8,25,12:30,13:05
20970,Danaus plexippus,45.373084,-75.797918,6171,2012-08-24,2012,8,24,10:30,11:10
20971,Danaus plexippus,45.35405,-75.811908,6172,2012-08-24,2012,8,24,09:20,10:05
20985,Danaus plexippus,44.067088,-78.903026,6181,2012-08-25,2012,8,25,13:55,14:10
20995,Danaus plexippus,44.101318,-78.728972,6182,2012-08-25,2012,8,25,14:25,15:20
20998,Danaus plexippus,43.989917,-64.662599,6185,2012-08-21,2012,8,21,11:30,12:30
21022,Danaus plexippus,45.429468,-75.982459,6199,2012-08-26,2012,8,26,09:15,09:45
21087,Danaus plexippus,45.429468,-75.982459,6224,2012-08-26,2012,8,26,14:15,14:45
21135,Danaus plexippus,43.913234,-78.880753,6241,2012-08-26,2012,8,26,14:10,14:30
21140,Danaus plexippus,43.878834,-78.808396,6243,2012-08-26,2012,8,26,17:25,17:40
21156,Danaus plexippus,45.62932,-72.920047,6248,2012-08-26,2012,8,26,12:00,13:00
21170,Danaus plexippus,43.744097,-80.947353,6251,2012-08-26,2012,8,26,14:30,16:30
21206,Danaus plexippus,42.09988,-82.492049,6258,2012-08-25,2012,8,25,10:08,11:08
21210,Danaus plexippus,44.751797,-76.431703,6260,2012-08-24,2012,8,24,10:00,11:00
21248,Danaus plexippus,42.09988,-82.492049,6290,2012-08-27,2012,8,27,11:08,12:08
21260,Danaus plexippus,49.172154,-119.539402,6295,2012-08-23,2012,8,23,11:45,13:15
21286,Danaus plexippus,44.25375,-66.36342,6303,2012-08-27,2012,8,27,09:30,17:30
21305,Danaus plexippus,45.457276,-75.665127,6306,2012-08-28,2012,8,28,04:08,05:08
21310,Danaus plexippus,44.23319,-76.507893,6307,2012-08-28,2012,8,28,05:08,06:08
21317,Danaus plexippus,43.728395,-80.969786,6308,2012-08-28,2012,8,28,11:15,11:45
21344,Danaus plexippus,46.131615,-74.592403,6312,2012-08-26,2012,8,26,10:00,12:00
21348,Danaus plexippus,45.698137,-74.977838,6313,2012-08-28,2012,8,28,12:30,13:45
21363,Danaus plexippus,42.09988,-82.492049,6314,2012-08-28,2012,8,28,11:08,12:08
21380,Danaus plexippus,42.09988,-82.492049,6317,2012-08-29,2012,8,29,05:08,06:08
21396,Danaus plexippus,45.402854,-75.585412,6319,2012-08-29,2012,8,29,05:08,06:08
21421,Danaus plexippus,43.741304,-80.948574,6325,2012-08-29,2012,8,29,15:00,17:00
21432,Danaus plexippus,46.004419,-75.090255,6331,2012-08-25,2012,8,25,09:00,18:00
21435,Danaus plexippus,42.030366,-82.610826,6333,2012-08-30,2012,8,30,05:08,06:08
21449,Danaus plexippus,42.09988,-82.492049,6334,2012-08-30,2012,8,30,05:08,06:08
21464,Danaus plexippus,43.769588,-80.91906,6338,2012-08-30,2012,8,30,12:00,12:30
21531,Danaus plexippus,43.723139,-80.78658,6357,2012-08-31,2012,8,31,10:15,11:30
21548,Danaus plexippus,43.73802,-81.07899,6360,2012-08-31,2012,8,31,15:15,15:30
21558,Danaus plexippus,43.823324,-79.097432,6362,2012-08-31,2012,8,31,16:40,17:05
21567,Danaus plexippus,43.741228,-80.952634,6364,2012-08-31,2012,8,31,16:30,17:00
21577,Danaus plexippus,45.56051,-73.557675,6367,2012-09-01,2012,9,1,08:28,09:28
21578,Danaus plexippus,45.557218,-73.559593,6368,2012-08-31,2012,8,31,08:31,09:31
21587,Danaus plexippus,43.838692,-78.967478,6373,2012-09-01,2012,9,1,08:45,13:30
21598,Danaus plexippus,42.09988,-82.492049,6374,2012-08-31,2012,8,31,05:09,06:09
21609,Danaus plexippus,42.09988,-82.492049,6375,2012-09-01,2012,9,1,05:09,06:09
21636,Danaus plexippus,43.378915,-80.35313,6386,2012-09-01,2012,9,1,11:45,12:15
21657,Danaus plexippus,43.991888,-77.729259,6387,2012-08-22,2012,8,22,11:45,15:00
21663,Danaus plexippus,43.379426,-80.391963,6390,2012-09-01,2012,9,1,12:30,13:00
21694,Danaus plexippus,43.745291,-80.945851,6393,2012-09-01,2012,9,1,16:15,17:30
21696,Danaus plexippus,43.741304,-80.948574,6394,2012-09-01,2012,9,1,15:30,19:30
21711,Danaus plexippus,42.071665,-82.597264,6395,2012-08-23,2012,8,23,13:00,14:00
21734,Danaus plexippus,41.921955,-82.512464,6396,2012-08-23,2012,8,23,14:45,18:00
21751,Danaus plexippus,42.03835,-82.724927,6397,2012-08-24,2012,8,24,08:00,10:20
21769,Danaus plexippus,42.032637,-82.595247,6398,2012-08-24,2012,8,24,10:30,11:15
21782,Danaus plexippus,42.027847,-82.588209,6399,2012-08-24,2012,8,24,11:20,11:40
21795,Danaus plexippus,42.038844,-82.514695,6402,2012-08-24,2012,8,24,11:50,12:50
21803,Danaus plexippus,41.968334,-82.535166,6405,2012-08-24,2012,8,24,13:15,13:30
21814,Danaus plexippus,41.952602,-82.525531,6406,2012-08-24,2012,8,24,13:40,14:20
21836,Danaus plexippus,41.913556,-82.510489,6409,2012-08-24,2012,8,24,14:50,15:25
21850,Danaus plexippus,41.915105,-82.508816,6412,2012-08-24,2012,8,24,15:25,16:00
21860,Danaus plexippus,41.92336,-82.512893,6413,2012-08-24,2012,8,24,16:00,16:30
